title,type,releasedate,developer,publisher,category
Counter-Strike,game,11/1/2000,Valve,Valve,top_1000
Call of Duty: World at War,game,11/18/2008,Treyarch,Activision,top_1000
Call of Duty: Modern Warfare 2,game,11/11/2009,Infinity Ward,Activision,top_1000
Call of Duty: Modern Warfare 2 - Multiplayer,game,11/11/2009,Infinity Ward,Activision,top_1000
Disciples III: Reincarnation,game,2/14/2014,Akella,Kalypso Media Digital,top_1000
ORION: Prelude,game,4/16/2013,Spiral Game Studios,DANKIE,top_1000
Empire: Total War,game,3/4/2009,CREATIVE ASSEMBLY,SEGA,top_1000
Age of Empires III: Complete Collection,game,1/5/2012,Ensemble Studios,Xbox Game Studios,top_1000
Terraria,game,5/16/2011,Re-Logic,Re-Logic,top_1000
Space Pirates and Zombies,game,8/15/2011,MinMax Games Ltd,MinMax Games Ltd,top_1000
Arma 3,game,9/12/2013,Bohemia Interactive,Bohemia Interactive,top_1000
Project Zomboid,game,11/8/2013,The Indie Stone,The Indie Stone,top_1000
Neverwinter,game,12/5/2013,Cryptic Studios,Perfect World Entertainment,top_1000
TrackMania Nations Forever,game,4/16/2008,Nadeo,Ubisoft,top_1000
L.A. Noire,game,11/8/2011,Team Bondi,Rockstar Games,top_1000
Monaco,game,4/24/2013,Pocketwatch Games,Pocketwatch Games,top_1000
The Binding of Isaac,game,9/28/2011,Edmund McMillen and Florian Himsl,Edmund McMillen,top_1000
APB Reloaded,game,12/6/2011,Little Orbit,Little Orbit,top_1000
Fallen Earth,game,2/22/2012,Little Orbit,Little Orbit,top_1000
Overlord,game,11/12/2009,Triumph Studios,Codemasters,top_1000
Red Orchestra: Ostfront 41-45,game,3/14/2006,Tripwire Interactive,Tripwire Interactive,top_1000
Grand Theft Auto: San Andreas,game,1/6/2011,Rockstar Games,Rockstar Games,top_1000
Max Payne 2: The Fall of Max Payne,game,1/6/2011,Remedy Entertainment,Rockstar Games,top_1000
Grand Theft Auto IV,game,12/2/2008,Rockstar North,Rockstar Games,top_1000
Sacred Gold,game,7/9/2008,Ascaron Entertainment ltd,Strategy First,top_1000
Killing Floor,game,5/14/2009,Tripwire Interactive,Tripwire Interactive,top_1000
Half-Life: Blue Shift,game,6/1/2001,Gearbox Software,Valve,top_1000
Unreal Tournament 3: Black Edition,game,3/5/2009,Epic Games,Epic Games,top_1000
Unreal Tournament 2004,game,3/17/2004,Epic Games,Epic Games,top_1000
Far Cry,game,4/1/2008,Crytek Studios,Ubisoft,top_1000
Tom Clancys Rainbow Six: Vegas 2,game,4/16/2008,Ubisoft Montreal,Ubisoft,top_1000
Silent Hunter III,game,6/13/2008,Ubisoft,Ubisoft,top_1000
IL-2 Sturmovik: 1946,game,6/13/2008,1C: Maddox Games,1C Entertainment,top_1000
Oddworld: Abes Oddysee,game,8/28/2008,Oddworld Inhabitants,Oddworld Inhabitants,top_1000
F.E.A.R. 2: Project Origin,game,2/12/2009,Monolith,Warner Bros Interactive Entertainment,top_1000
Source Filmmaker,game,7/10/2012,Valve,Valve,top_1000
Earth 2160,game,4/1/2006,Reality Pump Studios,Topware Interactive,top_1000
Realm of the Mad God,game,2/20/2012,Wild Shadow Studios,Deca Games,top_1000
Batman: Arkham City GOTY,game,9/7/2012,Rocksteady Studios,Warner Bros Interactive Entertainment,top_1000
XCOM: Enemy Unknown,game,10/11/2012,Firaxis Games,2K,top_1000
Torchlight II,game,9/20/2012,Runic Games,Runic Games,top_1000
Wolfenstein: The New Order,game,5/19/2014,Machine Games,Bethesda-Soft,top_1000
Galactic Civilizations II: Ultimate Edition,game,12/2/2011,Stardock Entertainment,Stardock Entertainment,top_1000
Call of Duty: Black Ops II - Multiplayer,game,11/12/2012,Treyarch,Activision,top_1000
Hitman: Absolution,game,11/19/2012,Io-Interactive A/S,Io-Interactive A/S,top_1000
Americas Army: Proving Grounds,game,8/13/2023,US Army,US Army,top_1000
Warlock - Master of the Arcane,game,5/8/2012,Ino-Co Plus,Paradox Interactive,top_1000
F1 Race Stars,game,11/14/2012,Codemasters Birmingham,Codemasters,top_1000
Crusader Kings II,game,2/14/2012,Paradox Development Studio,Paradox Interactive,top_1000
Awesomenauts,game,8/1/2012,Ronimo Games,Ronimo Games,top_1000
Serious Sam 2,game,1/31/2012,Croteam,Devolver Digital,top_1000
Castle Crashers,game,9/26/2012,The Behemoth,The Behemoth,top_1000
Sins of a Solar Empire: Rebellion,game,6/12/2012,Ironclad Games,Stardock Entertainment,top_1000
Dishonored,game,10/10/2012,Arkane Studios,Bethesda Softworks,top_1000
Company of Heroes: Tales of Valor,game,4/8/2009,Relic Entertainment,SEGA,top_1000
Warlock 2: the Exiled,game,4/10/2014,Ino-Co Plus,Paradox Interactive,top_1000
Saints Row IV,game,9/11/2013,Deep Silver Volition,Deep Silver,top_1000
To the Moon,game,9/7/2012,Freebird Games,Freebird Games,top_1000
Omerta - City of Gangsters,game,1/31/2013,Haemimont Games,Kalypso Media Digital,top_1000
STAR WARS Knights of the Old Republic II: The Sith Lords,game,8/23/2012,Obsidian Entertainment,LucasArts,top_1000
Batman: Arkham Knight,game,6/23/2015,Rocksteady Studios,Warner Bros Interactive Entertainment,top_1000
The Witcher: Enhanced Edition,game,9/16/2008,CD PROJEKT RED,CD PROJEKT RED,top_1000
Batman: Arkham Origins,game,10/24/2013,WB Games Montreal,Warner Bros Interactive Entertainment,top_1000
The Witcher 2: Assassins of Kings Enhanced Edition,game,4/16/2012,CD PROJEKT RED,CD PROJEKT RED,top_1000
Dark Messiah of Might & Magic Single Player,game,10/25/2006,Arkane Studios,Ubisoft,top_1000
LEGO Batman: The Videogame,game,9/29/2008,Travellers Tales,Warner Bros Interactive Entertainment,top_1000
Sanctum 2,game,5/15/2013,Coffee Stain Studios,Coffee Stain Publishing,top_1000
F.E.A.R.,game,5/21/2010,Monolith Productions,Warner Bros Interactive Entertainment,top_1000
F.E.A.R. 3,game,6/21/2011,Day 1 Studios,Warner Bros Interactive Entertainment,top_1000
DARK SOULS: Prepare To Die Edition,game,8/24/2012,FromSoftware,BANDAI NAMCO Entertainment,top_1000
RaceRoom Racing Experience,game,2/12/2013,Sector3 Studios,Sector3 Studios,top_1000
Starbound,game,7/22/2016,Chucklefish,Chucklefish,top_1000
Star Conflict,game,2/27/2013,Star Gem Inc,Gaijin Entertainment,top_1000
Vindictus,game,6/22/2012,devCAT,NEXON Korea Corp & NEXON America Inc,top_1000
Mabinogi,game,12/6/2012,NEXON Korea Corp,Nexon America Inc,top_1000
The Lord of the Rings Online,game,6/6/2012,Standing Stone Games,Standing Stone Games,top_1000
FTL: Faster Than Light,game,9/14/2012,Subset Games,Subset Games,top_1000
South Park: The Stick of Truth,game,3/5/2014,Obsidian Entertainment,Ubisoft,top_1000
Magic 2014,game,6/26/2013,Stainless Games,Wizards of the Coast LLC,top_1000
Deponia,game,8/6/2012,Daedalic Entertainment,Daedalic Entertainment,top_1000
Gear Up,game,1/28/2015,Doctor Entertainment AB,Doctor Entertainment AB,top_1000
Total War: ROME II - Emperor Edition,game,9/2/2013,CREATIVE ASSEMBLY,SEGA,top_1000
WAKFU,game,9/18/2014,Ankama Studio,Ankama Games,top_1000
Ragnarok,game,10/31/2013,Gravity Interactive,Gravity Interactive,top_1000
Secret World Legends,game,7/31/2017,Funcom,Funcom,top_1000
The Incredible Adventures of Van Helsing,game,5/22/2013,NeocoreGames,NeocoreGames,top_1000
MapleStory,game,8/9/2012,Nexon,Nexon America Inc,top_1000
Don Bradman Cricket 14,game,6/25/2014,Big Ant Studios,Big Ant Studios,top_1000
Blood Bowl: Chaos Edition,game,10/11/2012,Cyanide Studios,Focus Home Interactive,top_1000
PlanetSide 2,game,11/20/2012,Daybreak Game Company,Daybreak Game Company,top_1000
PAYDAY 2,game,8/13/2013,OVERKILL - a Starbreeze Studio,Starbreeze Publishing AB,top_1000
Chivalry: Medieval Warfare,game,10/16/2012,Torn Banner Studios,Torn Banner Studios,top_1000
Dont Starve,game,,Klei Entertainment,Klei Entertainment,top_1000
King Arthurs Gold,game,11/5/2013,Transhuman Design,Transhuman Design,top_1000
Grim Dawn,game,2/25/2016,Crate Entertainment,Crate Entertainment,top_1000
Half-Life 2,game,11/16/2004,Valve,Valve,top_1000
Kerbal Space Program,game,4/27/2015,Squad,Private Division ,top_1000
Far Cry 3,game,11/28/2012,Ubisoft Montreal,Ubisoft,top_1000
Chaos on Deponia,game,11/6/2012,Daedalic Entertainment,Daedalic Entertainment,top_1000
Resident Evil 6 / Biohazard 6,game,3/21/2013,Capcom,Capcom,top_1000
DayZ,game,12/13/2018,Bohemia Interactive,Bohemia Interactive,top_1000
Little Inferno,game,11/19/2012,Tomorrow Corporation,Tomorrow Corporation,top_1000
Hearts of Iron II: Complete,game,1/23/2009,Paradox Development Studio,Paradox Interactive,top_1000
Age of Empires II: HD Edition,game,4/9/2013,Skybox Labs,Xbox Game Studios,top_1000
Defense Grid 2,game,9/23/2014,Hidden Path Entertainment,505 Games,top_1000
Rocksmith 2014 Edition - Remastered,game,10/4/2016,Ubisoft - San Francisco,Ubisoft,top_1000
THE KING OF FIGHTERS 2002 UNLIMITED MATCH,game,2/27/2015,SNK CORPORATION,SNK CORPORATION,top_1000
Reus,game,5/16/2013,Abbey Games,Abbey Games,top_1000
Insurgency,game,1/22/2014,New World Interactive,New World Interactive,top_1000
The Elder Scrolls III: Morrowind,game,6/16/2009,Bethesda Game Studios,Bethesda Softworks,top_1000
The Elder Scrolls IV: Oblivion,game,6/16/2009,Bethesda Game Studios,Bethesda Softworks,top_1000
BRINK,game,5/9/2011,Splash Damage,Bethesda Softworks,top_1000
Fallout 3 - Game of the Year Edition,game,12/17/2009,Bethesda Game Studios,Bethesda Softworks,top_1000
Fallout: New Vegas,game,10/20/2010,Obsidian Entertainment,Bethesda Softworks,top_1000
Xenonauts,game,6/16/2014,Goldhawk Interactive,Goldhawk Interactive,top_1000
No More Room in Hell,game,10/31/2013,No More Room in Hell Team,Lever Games,top_1000
Octodad: Dadliest Catch,game,1/30/2014,Young Horses,Young Horses,top_1000
Gnomoria,game,2/23/2016,Robotronic Games,Robotronic Games,top_1000
Ace of Spades,game,,Jagex Limited,Jagex,top_1000
FEZ,game,5/1/2013,Polytron Corporation,Trapdoor,top_1000
Brothers - A Tale of Two Sons,game,9/3/2013,Starbreeze Studios AB,505 Games,top_1000
Brutal Legend,game,2/26/2013,Double Fine Productions,Double Fine Productions,top_1000
Just Cause 3,game,11/30/2015,Avalanche Studios,Square Enix,top_1000
Age of Wonders III,game,3/31/2014,Triumph Studios,Paradox Interactive,top_1000
Galactic Civilizations III,game,5/14/2015,Stardock Entertainment,Stardock Entertainment,top_1000
Euro Truck Simulator 2,game,10/12/2012,SCS Software,SCS Software,top_1000
Heroes & Generals,game,10/18/2016,RETO MOTO,RETO MOTO,top_1000
Company of Heroes,game,9/11/2006,Relic Entertainment,SEGA,top_1000
Baldurs Gate: Enhanced Edition,game,1/16/2013,Beamdog,Beamdog,top_1000
Remember Me,game,6/5/2013,DONTNOD Entertainment,Capcom,top_1000
TrackMania Canyon,game,2/27/2013,Nadeo,Ubisoft,top_1000
Warframe,game,3/25/2013,Digital Extremes,Digital Extremes,top_1000
Ragnarok Online 2,game,5/1/2013,Gravity Inc,Gravity Interactive,top_1000
The Swapper,game,5/30/2013,Olli Harjola,Facepalm Games,top_1000
Company of Heroes 2,game,6/25/2013,Relic Entertainment,SEGA,top_1000
Euro Truck Simulator,game,3/8/2013,SCS Software,SCS Software,top_1000
Eador. Masters of the Broken World,game,4/19/2013,Snowbird Games,Snowbird Games,top_1000
Killing Floor 2,game,11/18/2016,Tripwire Interactive,Tripwire Interactive,top_1000
Stronghold Crusader 2,game,9/22/2014,FireFly Studios,FireFly Studios,top_1000
MURDERED: SOUL SUSPECT,game,6/4/2014,Airtight Games,Square Enix,top_1000
Prison Architect,game,10/6/2015,Introversion Software,Paradox Interactive,top_1000
Surgeon Simulator,game,4/19/2013,Bossa Studios,Bossa Studios,top_1000
Arma 3 Tools,game,,Bohemia Interactive,Bohemia Interactive,top_1000
Unepic,game,7/25/2014,@unepic_fran,@unepic_fran,top_1000
Mad Max,game,9/1/2015,Avalanche Studios,Warner Bros Interactive Entertainment,top_1000
Project CARS,game,3/15/2015,Slightly Mad Studios,Slightly Mad Studios,top_1000
Poker Night 2,game,4/26/2013,Telltale Games,Telltale Games,top_1000
Original War,game,1/27/2014,Altar Games,Bohemia Interactive,top_1000
Warhammer: End Times - Vermintide,game,10/23/2015,Fatshark,Fatshark,top_1000
Audiosurf 2,game,5/26/2015,Dylan Fitterer,Dylan Fitterer,top_1000
RPG Maker XP,game,12/13/2013,KADOKAWA,Degica,top_1000
Dust: An Elysian Tail,game,5/24/2013,Humble Hearts LLC,Xbox Game Studios,top_1000
Dungeon Defenders II,game,6/20/2017,Trendy Entertainment,Trendy Entertainment,top_1000
Starpoint Gemini 2,game,9/26/2014,Little Green Men Games,Iceberg Interactive,top_1000
War Thunder,game,8/15/2013,Gaijin Entertainment,Gaijin Entertainment,top_1000
DARK SOULS II,game,4/25/2014,FromSoftware,BANDAI NAMCO Entertainment,top_1000
Blood Bowl 2,game,9/22/2015,Cyanide Studios,Focus Home Interactive,top_1000
Europa Universalis IV,game,8/13/2013,Paradox Development Studio,Paradox Interactive,top_1000
HITMAN,game,3/11/2016,IO Interactive A/S,IO Interactive A/S,top_1000
Elsword,game,7/2/2014,KOG,KOG Games,top_1000
Dreamfall Chapters,game,7/21/2017,Red Thread Games,Red Thread Games,top_1000
Planet Explorers,game,11/8/2016,Pathea Games,Pathea Games,top_1000
Sniper Elite 3,game,6/27/2014,Rebellion,Rebellion,top_1000
Contagion,game,10/25/2013,Monochrome,Monochrome,top_1000
BattleBlock Theater,game,5/15/2014,The Behemoth,The Behemoth,top_1000
Might & Magic X - Legacy,game,1/23/2014,Ubisoft,Ubisoft,top_1000
Path of Exile,game,10/23/2013,Grinding Gear Games,Grinding Gear Games,top_1000
FINAL FANTASY III,game,5/27/2014,Square Enix,Square Enix,top_1000
Dying Light,game,1/26/2015,Techland,Techland Publishing,top_1000
Castlevania: Lords of Shadow 2,game,2/25/2014,MercurySteam,Konami Digital Entertainment,top_1000
Dead State,game,12/4/2014,DoubleBear Productions,DoubleBear Productions,top_1000
Counter-Strike: Source,game,11/1/2004,Valve,Valve,top_1000
Train Simulator,game,9/17/2015,Dovetail Games,Dovetail Games - Trains,top_1000
Panzar,game,11/25/2013,Panzar Studio,OVALIS INVESTMENTS LIMITED,top_1000
Getting Over It with Bennett Foddy,game,12/6/2017,Bennett Foddy,Bennett Foddy,top_1000
Sherlock Holmes: Crimes and Punishments,game,9/29/2014,Frogwares,Focus Home Interactive,top_1000
Middle-earth: Shadow of Mordor,game,9/30/2014,Monolith Productions,WB Games,top_1000
DC Universe Online,game,11/2/2011,Daybreak Game Company,Daybreak Game Company,top_1000
Assassins Creed IV Black Flag,game,11/19/2013,Ubisoft Montreal,Ubisoft,top_1000
The Forest,game,4/30/2018,Endnight Games Ltd,Endnight Games Ltd,top_1000
Banished,game,2/18/2014,Shining Rock Software LLC,Shining Rock Software LLC,top_1000
Divinity: Dragon Commander,game,8/6/2013,Larian Studios,Larian Studios,top_1000
Assetto Corsa,game,12/19/2014,Kunos Simulazioni,Kunos Simulazioni,top_1000
Men of War: Assault Squad 2,game,5/15/2014,Digitalmindsoft,1C Entertainment,top_1000
Divekick,game,8/20/2013,Iron Galaxy,Iron Galaxy,top_1000
Space Engineers,game,2/28/2019,Keen Software House,Keen Software House,top_1000
Tropico 5,game,5/23/2014,Haemimont Games,Kalypso Media Digital,top_1000
Plague Inc: Evolved,game,2/18/2016,Ndemic Creations,Ndemic Creations,top_1000
Trainz Simulator 12,game,6/8/2011,N3V Games,N3V Games,top_1000
Cook,game, Serve,Vertigo Gaming Inc,Vertigo Gaming Inc,top_1000
Craft The World,game,11/24/2014,Dekovir Entertainment,Black Maple Games,top_1000
Medal of Honor: Airborne,game,10/6/2009,EA Los Angeles,Electronic Arts,top_1000
Need for Speed: SHIFT,game,10/6/2009,Slightly Mad Studios,Electronic Arts,top_1000
NEO Scavenger,game,12/15/2014,Blue Bottle Games,Blue Bottle Games,top_1000
LEGO MARVEL Super Heroes,game,11/15/2013,Travellers Tales,Warner Bros Interactive Entertainment,top_1000
Teslagrad,game,12/13/2013,Rain Games,Rain Games,top_1000
Battlefield: Bad Company 2,game,3/2/2010,DICE,Electronic Arts,top_1000
Blackguards,game,1/22/2014,Daedalic Entertainment,Daedalic Entertainment,top_1000
Overgrowth,game,10/16/2017,Wolfire Games,Wolfire Games,top_1000
The Binding of Isaac: Rebirth,game,11/4/2014,Nicalis,Nicalis,top_1000
Wargame: Red Dragon,game,4/17/2014,Eugen Systems,Focus Home Interactive,top_1000
INFRA,game,1/15/2016,Loiste Interactive,Loiste Interactive,top_1000
The Legend of Heroes: Trails in the Sky SC,game,10/29/2015,Nihon Falcom,XSEED Games,top_1000
7 Days to Die,game,12/13/2013,The Fun Pimps,The Fun Pimps Entertainment LLC,top_1000
World War II Online,game,9/5/2017,Cornered Rat Software,Cornered Rat Software,top_1000
Lovers in a Dangerous Spacetime,game,9/9/2015,Asteroid Base,Asteroid Base,top_1000
SteamWorld Dig,game,12/5/2013,Image & Form Games,Image & Form Games,top_1000
Rust,game,2/8/2018,Facepunch Studios,Facepunch Studios,top_1000
OMSI 2,game,12/11/2013,MR-Software GbR,Aerosoft GmbH,top_1000
PULSAR: Lost Colony,game,9/15/2015,Leafy Games,Leafy Games,top_1000
Rocket League,game,7/7/2015,Psyonix,Psyonix,top_1000
CastleMiner Z,game,2/3/2014,DigitalDNA Games LLC,DigitalDNA Games LLC,top_1000
theHunter Classic,game,6/3/2014,Expansive Worlds,Expansive Worlds,top_1000
Knights and Merchants,game,10/14/2013,Topware Interactive,Topware Interactive,top_1000
Dofus,game,11/15/2016,Ankama Studio,Ankama Games,top_1000
Cities: Skylines,game,3/10/2015,Colossal Order Ltd,Paradox Interactive,top_1000
Knights of Honor,game,2/4/2009,Black Sea Studios Ltd,Paradox Interactive,top_1000
Chicken Shoot Gold,game,11/1/2003,ToonTRAXX Studios,Topware Interactive,top_1000
The Four Kings Casino and Slots,game,6/1/2015,Digital Leisure Inc,Digital Leisure Inc,top_1000
Lethal League,game,8/27/2014,Team Reptile,Team Reptile,top_1000
Distant Worlds: Universe,game,5/23/2014,Code Force,Slitherine Ltd,top_1000
Borderlands: The Pre-Sequel,game,10/15/2014,2K Australia,2K,top_1000
Call of Duty,game,10/13/2006,Infinity Ward,Activision,top_1000
Darkest Dungeon,game,1/19/2016,Red Hook Studios,Red Hook Studios,top_1000
Broken Sword 5 - the Serpents Curse,game,12/4/2013,Revolution Software Ltd,Revolution Software Ltd,top_1000
Blockstorm,game,5/21/2015,GhostShark,IndieGala,top_1000
Villagers and Heroes,game,4/17/2014,Mad Otter Games,Mad Otter Games,top_1000
Turbo Dismount,game,5/21/2014,Secret Exit Ltd,Secret Exit Ltd,top_1000
Subnautica,game,1/23/2018,Unknown Worlds Entertainment,Unknown Worlds Entertainment,top_1000
Viscera Cleanup Detail: Santas Rampage,game,12/13/2013,RuneStorm,RuneStorm,top_1000
Epic Battle Fantasy 4,game,2/25/2014,Matt Roszak,Matt Roszak,top_1000
Age of Mythology: Extended Edition,game,5/8/2014,SkyBox Labs,Xbox Game Studios,top_1000
Panzer Corps,game,3/12/2014,Flashback Games,Slitherine Ltd,top_1000
Aura Kingdom,game,7/14/2023,X-Legend,Aeria Games,top_1000
XCOM 2,game,2/4/2016,Firaxis Games,2K,top_1000
Magicite,game,6/9/2014,SmashGames,SmashGames,top_1000
EVGA Precision XOC,game,7/16/2014,EVGA,EVGA,top_1000
Satellite Reign,game,8/27/2015,5 Lives Studios,5 Lives Studios,top_1000
Cuphead,game,9/29/2017,Studio MDHR Entertainment Inc,Studio MDHR Entertainment Inc,top_1000
Hero Siege,game,1/29/2014,Elias Viglione,Panic Art Studios,top_1000
Chronology,game,5/12/2014,Bedtime Digital Games,Bedtime Digital Games,top_1000
X-Plane 11,game,3/30/2017,Laminar Research,Laminar Research,top_1000
American Truck Simulator,game,2/2/2016,SCS Software,SCS Software,top_1000
Industry Giant 2,game,8/14/2015,Fancy Bytes,Toplitz Productions,top_1000
Grand Theft Auto V,game,4/13/2015,Rockstar North,Rockstar Games,top_1000
Sub Rosa,game,,Cryptic Sea,Devolver Digital,top_1000
Counter-Strike Nexon: Zombies,game,10/7/2014,Valve Corporation,Nexon Korea Corporation,top_1000
Broforce,game,10/15/2015,Free Lives,Devolver Digital,top_1000
Murder Miners,game,7/25/2014,JForce Games,JForce Games,top_1000
No Mans Sky,game,8/12/2016,Hello Games,Hello Games,top_1000
Angvik,game,2/24/2014,Alastair John Jack,Alastair John Jack,top_1000
Half-Life: Source,game,6/1/2004,Valve,Valve,top_1000
X2: The Threat,game,7/21/2006,Egosoft,Egosoft,top_1000
Aragami,game,10/4/2016,Lince Works,Lince Works,top_1000
Creativerse,game,5/8/2017,Playful Corp,Playful Corp,top_1000
X3: Reunion,game,7/21/2006,Egosoft,Egosoft,top_1000
Stellaris,game,5/9/2016,Paradox Development Studio,Paradox Interactive,top_1000
This War of Mine,game,11/14/2014,11 bit studios,11 bit studios,top_1000
SuperPower 2 Steam Edition,game,4/18/2014,GolemLabs,THQ Nordic,top_1000
Quake Live,game,9/17/2014,id Software,Bethesda Softworks,top_1000
RollerCoaster Tycoon World,game,11/16/2016,Nvizzio Creations,Atari,top_1000
BeamNG.drive,game,5/29/2015,BeamNG,BeamNG,top_1000
Pixel Puzzles: UndeadZ,game,6/6/2014,DL Softworks,DL Softworks,top_1000
Warhammer 40 000: Dawn of War III,game,4/27/2017,Relic Entertainment,SEGA,top_1000
TerraTech,game,8/10/2018,Payload Studios,Payload Studios,top_1000
Tooth and Tail,game,9/12/2017,Pocketwatch Games,Pocketwatch Games,top_1000
Tabletop Simulator,game,6/5/2015,Berserk Games,Berserk Games,top_1000
Metro 2033 Redux,game,8/27/2014,4A Games,Deep Silver,top_1000
X Rebirth,game,11/15/2013,Egosoft,Egosoft,top_1000
Toybox Turbos,game,11/11/2014,Codemasters,Codemasters,top_1000
Metro: Last Light Redux,game,8/27/2014,4A Games,Deep Silver,top_1000
Rise of Nations: Extended Edition,game,6/12/2014,SkyBox Labs,Xbox Game Studios,top_1000
METAL GEAR SOLID V: THE PHANTOM PAIN,game,9/1/2015,Konami Digital Entertainment,Konami Digital Entertainment,top_1000
The Room,game,7/28/2014,Fireproof Games,Fireproof Games,top_1000
Sid Meiers Civilization VI,game,10/20/2016,Firaxis Games,2K,top_1000
Endless Legend,game,9/18/2014,AMPLITUDE Studios,SEGA,top_1000
Assassins Creed Unity,game,11/12/2014,Ubisoft,Ubisoft,top_1000
TransOcean: The Shipping Company,game,9/23/2014,Deck13 Hamburg,astragon Entertainment ,top_1000
Life is Feudal: Your Own,game,11/17/2015,Bitbox Ltd,Bitbox Ltd,top_1000
Grey Goo,game,1/23/2015,Petroglyph,Grey Box,top_1000
Warface,game,7/1/2014,Mycom,Mycom,top_1000
Brawlhalla,game,10/17/2017,Blue Mammoth Games,Ubisoft,top_1000
Pillars of Eternity,game,3/26/2015,Obsidian Entertainment,Paradox Interactive,top_1000
The Witcher 3: Wild Hunt,game,5/18/2015,CD PROJEKT RED,CD PROJEKT RED,top_1000
FINAL FANTASY XIII-2,game,12/11/2014,Square Enix,Square Enix,top_1000
X-Plane 10 Global - 64 Bit,game,7/14/2014,Laminar Research,Aerosoft GmbH,top_1000
Call of Duty: Infinite Warfare,game,11/3/2016,Infinity Ward,Activision,top_1000
Deponia: The Complete Journey,game,7/8/2014,Daedalic Entertainment,Daedalic Entertainment,top_1000
Automation - The Car Company Tycoon Game,game,3/12/2015,Camshaft Software,Camshaft Software,top_1000
Crawl,game,4/11/2017,Powerhoof,Powerhoof,top_1000
RimWorld,game,10/17/2018,Ludeon Studios,Ludeon Studios,top_1000
Just Survive,game,1/15/2015,Daybreak Game Company,Daybreak Game Company,top_1000
Royal Quest,game,8/6/2014,Katauri,1C Online Games,top_1000
Mount Your Friends,game,7/29/2014,Stegersaurus Software Inc,Stegersaurus Software Inc,top_1000
Renowned Explorers: International Society,game,9/2/2015,Abbey Games,Abbey Games,top_1000
Heroes of Might & Magic III - HD Edition,game,1/28/2015,DotEmu,Ubisoft Entertainment,top_1000
Total Annihilation,game,12/18/2015,Cavedog Entertainment,Wargamingnet,top_1000
Far Cry 4,game,11/14/2023,Ubisoft Montreal,Ubisoft,top_1000
Ylands,game,12/6/2017,Bohemia Interactive,Bohemia Interactive,top_1000
Space Hulk: Deathwing,game,12/14/2016,Streum On Studio,Focus Home Interactive,top_1000
Block N Load,game,4/30/2015,Toadman Interactive,Toadman Interactive,top_1000
Woodle Tree Adventures,game,3/2/2016,Fabio Ferrara,Chubby Pixel,top_1000
Miscreated,game,12/18/2018,Entrada Interactive LLC,Entrada Interactive LLC,top_1000
Day of Defeat: Source,game,7/12/2010,Valve,Valve,top_1000
Infinifactory,game,6/30/2015,Zachtronics,Zachtronics,top_1000
NoLimits 2 Roller Coaster Simulation,game,8/21/2014,Ole Lange,Mad Data GmbH & Co KG,top_1000
Robocraft,game,8/24/2017,Freejam,Freejam,top_1000
Saints Row: Gat out of Hell,game,1/22/2015,Deep Silver Volition,Deep Silver,top_1000
BLOCKADE 3D,game,12/19/2014,Novalink,Novalink,top_1000
#killallzombies,game,8/10/2016,Beatshapers,8Floor,top_1000
ArcheAge,game,3/26/2015,XLGAMES,Trion Worlds,top_1000
Trove,game,7/9/2015,Trion Worlds,Trion Worlds,top_1000
For Honor,game,2/13/2017,Ubisoft Montreal,Ubisoft,top_1000
Agents of Mayhem,game,8/15/2017,Deep Silver Volition,Deep Silver,top_1000
Unturned,game,7/7/2017,Smartly Dressed Games,Smartly Dressed Games,top_1000
Battle Islands,game,8/6/2014,DR Studios,505 Games,top_1000
The Long Dark,game,8/1/2017,Hinterland Studio Inc,Hinterland Studio Inc,top_1000
Bloons TD5,game,11/19/2014,Ninja Kiwi,Ninja Kiwi,top_1000
The Elder Scrolls Online: Tamriel Unlimited,game,5/22/2017,Zenimax Online Studios,Bethesda Softworks,top_1000
Hard West,game,11/18/2015,CreativeForge Games,Good Shepherd Entertainment,top_1000
Mortal Kombat X,game,4/13/2015,NetherRealm Studios,Warner Bros Interactive Entertainment,top_1000
Back to Bed,game,8/6/2014,Bedtime Digital Games,Bedtime Digital Games,top_1000
Grand Ages: Medieval,game,9/25/2015,Gaming Minds Studios,Kalypso Media Digital,top_1000
DiRT Rally,game,12/7/2015,Codemasters Racing Studio,Codemasters,top_1000
Street Fighter V,game,2/15/2016,Capcom,Capcom,top_1000
Call of Duty: Black Ops III,game,11/5/2015,Treyarch,Activision,top_1000
The Guild 3,game,9/26/2017,Purple Lamp Studios,THQ Nordic,top_1000
SpellForce 3,game,12/7/2017,Grimlore Games,THQ Nordic,top_1000
Naval Action,game,1/21/2016,Game-Labs,Game-Labs,top_1000
METAL GEAR SOLID V: GROUND ZEROES,game,12/18/2014,Kojima Productions,Konami Digital Entertainment,top_1000
Enter the Gungeon,game,4/5/2016,Dodge Roll,Devolver Digital,top_1000
LEGO Pirates of the Caribbean The Video Game,game,10/6/2014,Travellers Tales,Disney Interactive,top_1000
Simply Chess,game,9/11/2015,BlueLine Games,BlueLine Games,top_1000
Rain World,game,3/28/2017,Videocult,Adult Swim Games,top_1000
Duck Game,game,6/4/2015,Landon Podbielski,Adult Swim Games,top_1000
Sniper Elite 4,game,2/13/2017,Rebellion,Rebellion,top_1000
FINAL FANTASY IV,game,9/17/2014,Square Enix,Square Enix,top_1000
Cities XXL,game,2/5/2015,Focus Home Interactive,Focus Home Interactive,top_1000
